Iteration,x1
1,-0.5
2,-0.38341780092014377
3,-0.29870371914409277
4,-0.2312982118906281
5,-0.17493878931665627
6,-0.12630934290405083
7,-0.08342424255637414
8,-0.04499288775479262
9,-0.010125540410507963
10,0.021819060466276435
11,0.051319450629273775
12,0.07874287111278502
13,0.1043777180955907
14,0.12845488122078408
15,0.15116226627166743
16,0.17265497091412674
17,0.1930625946391027
18,0.21249460475736784
19,0.23104435067222778
20,0.24879211755417288
21,0.2658074840887738
22,0.2821511673076117
23,0.29787648351112567
24,0.3130305178166959
25,0.32765506975186803
26,0.34178742472006635
27,0.3554609886463991
28,0.3687058140722252
29,0.38154903935444184
30,0.3940152577284613
31,0.4061268293263854
32,0.41790414646645085
33,0.4293658604089763
34,0.4405290761386975
35,0.4514095204616946
36,0.46202168770837493
37,0.4723789665469163
38,0.4824937507857304
39,0.4923775365425788
40,0.5020410077545252
41,0.5114941116760674
42,0.5207461257465303
43,0.5298057169897509
44,0.5386809949296177
45,0.5473795588566153
46,0.5559085401572293
47,0.5642746403152114
48,0.57248416510752
49,0.5581984508218057
50,0.5662911331125516
51,0.5742394980281041
52,0.5603719931224734
53,0.5682152348620392
54,0.5546069585132437
55,0.5623507903532138
